ObservationTime,WindGustSpeed (Kilometres per hour)
2020-01-18 14:00:00+00:00,34.62
2020-01-18 15:00:00+00:00,27.36
2020-01-18 16:00:00+00:00,20.04
2020-01-18 17:00:00+00:00,17.58
2020-01-18 18:00:00+00:00,21.12
2020-01-18 19:00:00+00:00,23.82
2020-01-18 20:00:00+00:00,23.52
2020-01-18 21:00:00+00:00,23.7
2020-01-18 22:00:00+00:00,27.24
2020-01-18 23:00:00+00:00,26.58
2020-01-19 00:00:00+00:00,29.4
2020-01-19 01:00:00+00:00,28.08
2020-01-19 02:00:00+00:00,24.06
2020-01-19 03:00:00+00:00,19.2
2020-01-19 04:00:00+00:00,21.66
2020-01-19 05:00:00+00:00,25.26
2020-01-19 06:00:00+00:00,22.86
2020-01-19 07:00:00+00:00,24.12
2020-01-19 08:00:00+00:00,18.06
2020-01-19 09:00:00+00:00,18.18
2020-01-19 10:00:00+00:00,22.02
2020-01-19 11:00:00+00:00,27.36
2020-01-19 12:00:00+00:00,28.62
2020-01-19 13:00:00+00:00,25.92
2020-01-19 14:00:00+00:00,25.74
2020-01-19 15:00:00+00:00,21.06
2020-01-19 16:00:00+00:00,17.16
2020-01-19 17:00:00+00:00,14.4
2020-01-19 18:00:00+00:00,13.5
2020-01-19 19:00:00+00:00,12.48
2020-01-19 20:00:00+00:00,11.94
2020-01-19 21:00:00+00:00,6.72
2020-01-19 22:00:00+00:00,9.78
2020-01-19 23:00:00+00:00,8.94
2020-01-20 00:00:00+00:00,11.82
2020-01-20 01:00:00+00:00,10.2
2020-01-20 02:00:00+00:00,12.42
2020-01-20 03:00:00+00:00,16.08
2020-01-20 04:00:00+00:00,14.22
2020-01-20 05:00:00+00:00,11.52
2020-01-20 06:00:00+00:00,12.3
2020-01-20 07:00:00+00:00,15.78
2020-01-20 08:00:00+00:00,15.18
2020-01-20 09:00:00+00:00,18.78
2020-01-20 10:00:00+00:00,13.56
2020-01-20 11:00:00+00:00,11.82
2020-01-20 12:00:00+00:00,11.7
2020-01-20 13:00:00+00:00,14.52
2020-01-20 14:00:00+00:00,15.54
2020-01-20 15:00:00+00:00,13.38
2020-01-20 16:00:00+00:00,13.56
2020-01-20 17:00:00+00:00,14.4
2020-01-20 18:00:00+00:00,11.4
2020-01-20 19:00:00+00:00,11.16
2020-01-20 20:00:00+00:00,14.7
2020-01-20 21:00:00+00:00,11.16
2020-01-20 22:00:00+00:00,9.78
2020-01-20 23:00:00+00:00,9.48
2020-01-21 00:00:00+00:00,12.6
2020-01-21 01:00:00+00:00,10.26
2020-01-21 02:00:00+00:00,9
2020-01-21 03:00:00+00:00,8.88
2020-01-21 04:00:00+00:00,9.78
2020-01-21 05:00:00+00:00,8.58
2020-01-21 06:00:00+00:00,9.24
2020-01-21 07:00:00+00:00,10.56
2020-01-21 08:00:00+00:00,8.4
2020-01-21 09:00:00+00:00,13.86
2020-01-21 10:00:00+00:00,11.28
2020-01-21 11:00:00+00:00,13.38
2020-01-21 12:00:00+00:00,16.62
2020-01-21 13:00:00+00:00,18
2020-01-21 14:00:00+00:00,20.04
2020-01-21 15:00:00+00:00,14.94
2020-01-21 16:00:00+00:00,12.48
2020-01-21 17:00:00+00:00,12.3
2020-01-21 18:00:00+00:00,9.12
2020-01-21 19:00:00+00:00,5.94
2020-01-21 20:00:00+00:00,6.54
2020-01-21 21:00:00+00:00,6.36
2020-01-21 22:00:00+00:00,5.76
2020-01-21 23:00:00+00:00,6.66
2020-01-22 00:00:00+00:00,9.36
2020-01-22 01:00:00+00:00,12.54
2020-01-22 02:00:00+00:00,16.5
2020-01-22 03:00:00+00:00,8.52
2020-01-22 04:00:00+00:00,9.72
2020-01-22 05:00:00+00:00,8.88
2020-01-22 06:00:00+00:00,8.58
2020-01-22 07:00:00+00:00,8.1
2020-01-22 08:00:00+00:00,7.74
2020-01-22 09:00:00+00:00,8.04
2020-01-22 10:00:00+00:00,5.64
2020-01-22 11:00:00+00:00,6
2020-01-22 12:00:00+00:00,7.38
2020-01-22 13:00:00+00:00,8.1
2020-01-22 14:00:00+00:00,8.52
2020-01-22 15:00:00+00:00,9.72
2020-01-22 16:00:00+00:00,6.06
2020-01-22 17:00:00+00:00,8.16
2020-01-22 18:00:00+00:00,6.48
2020-01-22 19:00:00+00:00,8.04
2020-01-22 20:00:00+00:00,6.9
2020-01-22 21:00:00+00:00,4.44
2020-01-22 22:00:00+00:00,4.8
2020-01-22 23:00:00+00:00,5.58
2020-01-23 00:00:00+00:00,6.36
2020-01-23 01:00:00+00:00,3.24
2020-01-23 02:00:00+00:00,5.04
2020-01-23 03:00:00+00:00,4.86
2020-01-23 04:00:00+00:00,6.78
2020-01-23 05:00:00+00:00,6.12
2020-01-23 06:00:00+00:00,9.36
2020-01-23 07:00:00+00:00,11.16
2020-01-23 08:00:00+00:00,10.26
2020-01-23 09:00:00+00:00,10.44
2020-01-23 10:00:00+00:00,10.14
2020-01-23 11:00:00+00:00,17.58
2020-01-23 12:00:00+00:00,14.58
2020-01-23 13:00:00+00:00,11.64
2020-01-23 14:00:00+00:00,7.02
2020-01-23 15:00:00+00:00,9.24
2020-01-23 16:00:00+00:00,14.1
2020-01-23 17:00:00+00:00,12.3
2020-01-23 18:00:00+00:00,11.76
2020-01-23 19:00:00+00:00,11.4
2020-01-23 20:00:00+00:00,10.98
2020-01-23 21:00:00+00:00,8.4
2020-01-23 22:00:00+00:00,7.74
2020-01-23 23:00:00+00:00,4.44
2020-01-24 00:00:00+00:00,4.5
2020-01-24 01:00:00+00:00,6.12
2020-01-24 02:00:00+00:00,8.34
2020-01-24 03:00:00+00:00,9.9
2020-01-24 04:00:00+00:00,11.04
2020-01-24 05:00:00+00:00,12.36
2020-01-24 06:00:00+00:00,11.58
2020-01-24 07:00:00+00:00,10.32
2020-01-24 08:00:00+00:00,8.82
2020-01-24 09:00:00+00:00,9.06
2020-01-24 10:00:00+00:00,12.48
2020-01-24 11:00:00+00:00,12.9
2020-01-24 12:00:00+00:00,12.48
2020-01-24 13:00:00+00:00,12.3
2020-01-24 14:00:00+00:00,13.2
2020-01-24 15:00:00+00:00,13.44
2020-01-24 16:00:00+00:00,11.76
2020-01-24 17:00:00+00:00,13.02
2020-01-24 18:00:00+00:00,11.22
2020-01-24 19:00:00+00:00,15.48
2020-01-24 20:00:00+00:00,16.74
2020-01-24 21:00:00+00:00,13.8
2020-01-24 22:00:00+00:00,12.78
2020-01-24 23:00:00+00:00,15.66
2020-01-25 00:00:00+00:00,16.32
2020-01-25 01:00:00+00:00,16.86
2020-01-25 02:00:00+00:00,15.84
2020-01-25 03:00:00+00:00,17.1
2020-01-25 04:00:00+00:00,18.6
2020-01-25 05:00:00+00:00,19.08
2020-01-25 06:00:00+00:00,18.18
2020-01-25 07:00:00+00:00,17.58
2020-01-25 08:00:00+00:00,19.56
2020-01-25 09:00:00+00:00,22.62
2020-01-25 10:00:00+00:00,21.18
2020-01-25 11:00:00+00:00,20.4
2020-01-25 12:00:00+00:00,21.42
2020-01-25 13:00:00+00:00,21.06
